paper_id,title,year,venue,paper_link,project_link,code_link,task,main_contribution,main_limitation,evidence_type,relevance_to_selected_problem
EnvGS_2025,EnvGS: Modeling View-Dependent Appearance with Environment Gaussian,2025,CVPR 2025,https://arxiv.org/abs/2412.15215,https://zju3dv.github.io/envgs/,Needs Verification,complex reflection NVS,explicit environment Gaussian primitives and RT-core ray tracing for high-frequency/near-field reflections,ray tracing cost and not focused on mesh/material export,From Literature,near-field reflection reference and alternative target
RefGaussian_2025,Reflective Gaussian Splatting,2025,ICLR 2025 Needs Verification,https://arxiv.org/abs/2412.19282,Needs Verification,Needs Verification,reflective GS with inter-reflection,physically based deferred rendering plus Gaussian-grounded inter-reflection and material-aware normal propagation,publication/code status needs verification; complex physical approximation depends on geometry/material quality,Needs Verification,important prior for reflection/PBR but not chosen due code uncertainty
IRGS_2025,IRGS: Inter-Reflective Gaussian Splatting with 2D Gaussian Ray Tracing,2025,CVPR 2025,https://arxiv.org/abs/2412.15867,Needs Verification,Needs Verification,inter-reflective inverse rendering,differentiable 2D Gaussian ray tracing and full rendering equation for indirect radiance,computationally heavier and code status needs verification,From Literature,physics-heavy alternative; useful for ablation discussion
SVGIR_2025,SVG-IR: Spatially-Varying Gaussian Splatting for Inverse Rendering,2025,CVPR 2025 Needs Verification,https://arxiv.org/abs/2504.06815,Needs Verification,Needs Verification,spatially varying inverse rendering,spatially varying Gaussian attributes and physically-based indirect lighting,venue/code status needs verification; representation complexity,Needs Verification,material-detail capacity reference
GeoSplatting_2025,GeoSplatting: Towards Geometry Guided Gaussian Splatting for Physically-based Inverse Rendering,2025,ICCV 2025 Needs Verification,https://arxiv.org/abs/2410.24204,Needs Verification,Needs Verification,geometry-guided PBR inverse rendering,bridges isosurface mesh and 3DGS for differentiable PBR with accurate normals,depends on mesh/isurface quality; code/venue status needs verification,Needs Verification,mesh-guided inverse rendering reference
GlossyGS_2025,GlossyGS: Inverse Rendering of Glossy Objects with 3D Gaussian Splatting,2025,TVCG Needs Verification,https://arxiv.org/abs/2410.13349,https://letianhuang.github.io/glossygs/,Needs Verification,glossy object inverse rendering,micro-facet geometry segmentation prior and normal map prefiltering for glossy geometry/material,prior may limit generalization; code/venue status needs verification,Needs Verification,direct glossy material ambiguity reference
RefDGS_2026,Ref-DGS: Reflective Dual Gaussian Splatting,2026,arXiv,https://arxiv.org/abs/2603.07664,Needs Verification,https://github.com/njfan/Ref-DGS,reflective dual GS,geometry Gaussians plus local reflection Gaussians plus global environment reflection field and adaptive shader,preprint; mesh/material export path needs verification,From Literature,strong alternative target but newer/preprint status makes Ref-GS safer anchor
RefNeRF_2022,Ref-NeRF: Structured View-Dependent Appearance for Neural Radiance Fields,2022,CVPR 2022,https://arxiv.org/abs/2112.03907,https://dorverbin.github.io/refnerf/,Needs Verification,glossy NeRF view synthesis,parameterizes view-dependent outgoing radiance by reflected direction and normal regularization,not GS; not mesh/PBR asset oriented,From Literature,reflection direction and normal quality theoretical basis
NeRFReN_2022,NeRFReN: Neural Radiance Fields with Reflections,2022,CVPR 2022,https://arxiv.org/abs/2111.15234,https://bennyguo.github.io/nerfren/,Needs Verification,NeRF with reflections,separate transmitted and reflected radiance fields to avoid reflected virtual image as geometry,decomposition underconstrained; not GS/mesh oriented,From Literature,branch-separation conceptual prior
NeRFactor_2021,NeRFactor: Neural Factorization of Shape and Reflectance Under an Unknown Illumination,2021,SIGGRAPH Asia / TOG,https://arxiv.org/abs/2106.01970,https://people.csail.mit.edu/xiuming/projects/nerfactor/,Needs Verification,inverse rendering,decomposes normals visibility albedo BRDF and lighting after NeRF distillation,slow NeRF pipeline; not GS or mesh-texture direct,From Literature,PBR decomposition and priors reference
NeRO_2023,NeRO: Neural Geometry and BRDF Reconstruction of Reflective Objects from Multiview Images,2023,SIGGRAPH / TOG,https://arxiv.org/abs/2305.17398,https://liuyuan-pal.github.io/NeRO/,https://github.com/liuyuan-pal/NeRO,reflective object geometry and BRDF reconstruction,two-step geometry then BRDF/light optimization using split-sum approximation and integrated directional encoding,not GS; heavier neural rendering pipeline,From Literature,staged reflective geometry/material optimization reference
